GMID,Dataset,Address,數據集,地址,District,區域,Area,面積,Level,所處位置,Opening Hours,開放時間,Remarks,備註,Location Map,位置圖,Northing,Easting,Latitude,Longitude,Last Update
"lp3SvZ89hk","Public Open Space - Areas within private properties dedicated for public use","209-211 Des Voeux Road Central and 110, 112, 113 & 114 Connaught Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中209-211號及干諾道中110,112,113及114號","CENTRAL AND WESTERN","中西區","about 132 m2","約 132 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW79-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW79-map.pdf","816419.0","833804.0","22.2866684","114.15297023","2019-07-26 03:44:24"
"G9uGrOU1UV","Public Open Space - Areas within private properties dedicated for public use","189 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中189號","CENTRAL AND WESTERN","中西區","about 31 m2","約 31 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW19-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW19-map.pdf","816372.0","833906.0","22.2862432","114.15396008","2019-07-26 03:44:24"
"rIPsP7HL19","Public Open Space - Areas within private properties dedicated for public use","170-188 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中170至188號","CENTRAL AND WESTERN","中西區","about 51 m2","約 51 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL05-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL05-map1.pdf","816338.0","833852.0","22.28593789","114.15343031","2019-07-26 03:44:24"
"TfzQMX472y","Public Open Space - Areas within private properties dedicated for public use","135-137 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中135-137號","CENTRAL AND WESTERN","中西區","about 182 m2","約 182 平方米","G/F & 1/F","地下及一樓","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW16-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW16-map.pdf","816269.0","834029.0","22.2853096","114.15514989","2019-07-26 03:44:24"
"zaTxsJlI7g","Public Open Space - Areas within private properties dedicated for public use","99-105 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中99-105號","CENTRAL AND WESTERN","中西區","about 10 m2","約 10 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW78-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW78-map.pdf","816213.0","834094.0","22.28480667","114.15578362","2019-07-26 03:44:24"
"ZZ2p3i0RCa","Public Open Space - Areas within private properties dedicated for public use","83 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中83號","CENTRAL AND WESTERN","中西區","about 764 m2","約 764 平方米","G/F","地下","24 hours","24小時","Pedestrian passage(temporary structures for exhibitions and displays may be placed)","行人通道(可放置臨時搭建物作展覽和陳列之用)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW01-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW01-map.pdf","816187.0","834133.0","22.28456741","114.15616403","2019-07-26 03:44:24"
"j6wD1mLKJc","Public Open Space - Areas within private properties dedicated for public use","34-38 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中34-38號","CENTRAL AND WESTERN","中西區","about 29 m2","約 29 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW69-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW69-map.pdf","816020.0","834182.0","22.28306748","114.15664069","2019-07-26 03:44:24"
"YL8OpZVhhI","Public Open Space - Areas within private properties dedicated for public use","19 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中19號","CENTRAL AND WESTERN","中西區","about 1266 m2","約 1266 平方米","G/F","地下","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL01-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL01-map1.pdf","815964.0","834300.0","22.28255649","114.15778189","2019-07-26 03:44:24"
"W4AL7zzWLA","Public Open Space - Areas within private properties dedicated for public use","162-164 Connaught Road West and 8-10 Chiu Kwong Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港干諾道西162-164號及朝光街8-10號","CENTRAL AND WESTERN","中西區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW63-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW63-map.pdf","816576.0","832411.0","22.28808005","114.13945065","2019-07-26 03:44:24"
"jpjHp2bus4","Public Open Space - Areas within private properties dedicated for public use","152 Connaught Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港干諾道西152號","CENTRAL AND WESTERN","中西區","about 46 m2","約 46 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW46-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW46-map.pdf","816595.0","832724.0","22.28825501","114.14248693","2019-07-26 03:44:24"
"vpcin48ggP","Public Open Space - Areas within private properties dedicated for public use","82, 83, 84, 86, 86A, 87 Connaught Road West and 21-27 Sutherland Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港干諾道西82,83,84,86,86A,87號及修打蘭街21-27號","CENTRAL AND WESTERN","中西區","about 7 m2","約 7 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW64-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW64-map.pdf","816589.0","833092.0","22.28820245","114.1460628","2019-07-26 03:44:24"
"pL0lQxLKwN","Public Open Space - Areas within private properties dedicated for public use","28 Connaught Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港干諾道西28號","CENTRAL AND WESTERN","中西區","about 202 m2","約 202 平方米","G/F, Mezzanine Floor and 1/F","地下、閣樓及一樓","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW62-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW62-map.pdf","816543.0","833385.0","22.28778574","114.1488993","2019-07-26 03:44:24"
"FvuwSlZDAx","Public Open Space - Areas within private properties dedicated for public use","128-129 Connaught Road Central and Hillier Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港干諾道中128至129號及禧利街","CENTRAL AND WESTERN","中西區","about 6 m2","約 6 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL13-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL13-map1.pdf","816455.0","833713.0","22.28698976","114.15208714","2019-07-26 03:44:24"
"uY1NMWBQnj","Public Open Space - Areas within private properties dedicated for public use","90 Connaught Road Central and 181 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港干諾道中90號,德輔道中181號","CENTRAL AND WESTERN","中西區","about 6 m2","約 6 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW76-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW76-map.pdf","816361.0","833924.0","22.28614479","114.15412991","2019-07-26 03:44:24"
"ZTS6E5BvF8","Public Open Space - Areas within private properties dedicated for public use","13-14 Connaught Road Central and 21-23 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港干諾道中13-14號,德輔道中21-23號","CENTRAL AND WESTERN","中西區","about 54 m2","約 54 平方米","G/F","地下","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW45-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW45-map.pdf","815992.0","834279.0","22.28280842","114.15758002","2019-07-26 03:44:24"
"TcP08W3iQK","Public Open Space - Areas within private properties dedicated for public use","1 Connaught Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港干諾道中1號","CENTRAL AND WESTERN","中西區","about 1596 m2","約 1596 平方米","G/F & 1/F","地下及一樓","24 hours","24小時","Street widening; Pedestrian passage","街道擴闊; 行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW07-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW07-map.pdf","815824.0","834719.0","22.28129172","114.16184776","2019-07-26 03:44:24"
"Obj7TgrK1W","Public Open Space - Areas within private properties dedicated for public use","285 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中285號","CENTRAL AND WESTERN","中西區","about 9 m2","約 9 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW74-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW74-map.pdf","816448.0","833647.0","22.28693006","114.1514467","2019-07-26 03:44:23"
"u4yNkWTwup","Public Open Space - Areas within private properties dedicated for public use","1-3 Pedder Street and 21-27 Queen's Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港畢打街1-3號,皇后大道中21-27號","CENTRAL AND WESTERN","中西區","about 85 m2","約 85 平方米","G/F, 1/F & 2/F","地下、一樓及二樓","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW41-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW41-map.pdf","815827.0","834249.0","22.28132465","114.15728621","2019-07-26 03:44:23"
"QgK68r2gPU","Public Open Space - Areas within private properties dedicated for public use","2 Park Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港柏道2號","CENTRAL AND WESTERN","中西區","about 38 m2","約 38 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW09-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW09-map.pdf","816123.0","833043.0","22.28399047","114.14558825","2019-07-26 03:44:23"
"FjeksdDm3o","Public Open Space - Areas within private properties dedicated for public use","15-19 Lai On Lane and 2 Water Street","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","荔安里15-19號及水街2號","CENTRAL AND WESTERN","中西區","about 12 m2","約 12 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW86-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW86-map.pdf","816453.0","832377.0","22.28697282","114.13911811","2019-07-26 03:44:23"
"zPxp5yMn4o","Public Open Space - Areas within private properties dedicated for public use","32-36 Hollywood Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港荷李活道32-36號","CENTRAL AND WESTERN","中西區","about 129 m2","約 129 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW18-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW18-map.pdf","815909.0","833827.0","22.2820601","114.15319031","2019-07-26 03:44:23"
"zusvzJ0luB","Public Open Space - Areas within private properties dedicated for public use","27 Hillier Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港禧利街27號","CENTRAL AND WESTERN","中西區","about 0.2 m2","約 0.2 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW73-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW73-map.pdf","816253.0","833626.0","22.28516544","114.1512413","2019-07-26 03:44:23"
"bit3PyDQFF","Public Open Space - Areas within private properties dedicated for public use","99 High Street and 31, 33, 35 & 37 Western Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港高街99號及西邊街31,33,35及37號","CENTRAL AND WESTERN","中西區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW91-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW91-map.pdf","816272.0","832526.0","22.2853386","114.14056342","2019-07-26 03:44:23"
"2AdH1o1HSP","Public Open Space - Areas within private properties dedicated for public use","69 High Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港高街69號","CENTRAL AND WESTERN","中西區","about 57 m2","約 57 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW57-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW57-map.pdf","816269.0","832649.0","22.28531268","114.14175988","2019-07-26 03:44:23"
"a0mS0mDo4h","Public Open Space - Areas within private properties dedicated for public use","1 High Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港高街1號","CENTRAL AND WESTERN","中西區","about 776 m2","約 776 平方米","G/F, Lower G1/F, Lower G2/F & Lower G3/F","地下、地下低層一樓、地下低層二樓及地下低層三樓","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW36-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW36-map.pdf","816248.0","833079.0","22.28511756","114.1459383","2019-07-26 03:44:23"
"jqrNXwjKmi","Public Open Space - Areas within private properties dedicated for public use","18 Harcourt Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港夏慤道18號","CENTRAL AND WESTERN","中西區","about 731 m2","約 731 平方米","G/F","地下","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL02-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL02-map1.pdf","815607.0","835055.0","22.27933144","114.16510727","2019-07-26 03:44:23"
"hS1ow8N6UA","Public Open Space - Areas within private properties dedicated for public use","3 Garden Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港花園道3號","CENTRAL AND WESTERN","中西區","about 6032 m2","約 6032 平方米","Lower G/F, Upper G/F and Upper Part of Upper G/F","地下低層、地下高層及其上層","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW08-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW08-map.pdf","815494.0","834607.0","22.2783106","114.16076423","2019-07-26 03:44:23"
"tzI03dNGcy","Public Open Space - Areas within private properties dedicated for public use","26 Gage Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港結志街26號","CENTRAL AND WESTERN","中西區","about 12 m2","約 12 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW77-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW77-map.pdf","816051.0","833831.0","22.28334155","114.15322891","2019-07-26 03:44:23"
"i30MkV5MBZ","Public Open Space - Areas within private properties dedicated for public use","402-404 Des Voeux Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道西402至404號","CENTRAL AND WESTERN","中西區","about 125 m2","約 125 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL10-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL10-map1.pdf","816384.0","832141.0","22.28634464","114.136835","2019-07-26 03:44:23"
"cIfNOKb4DZ","Public Open Space - Areas within private properties dedicated for public use","363 Des Voeux Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道西363號","CENTRAL AND WESTERN","中西區","about 2 m2","約 2 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW71-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW71-map.pdf","816450.0","832075.0","22.28694231","114.13619244","2019-07-26 03:44:23"
"vPBACDakum","Public Open Space - Areas within private properties dedicated for public use","308 Des Voeux Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道西308號","CENTRAL AND WESTERN","中西區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW51-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW51-map.pdf","816486.0","832372.0","22.2872672","114.13907339","2019-07-26 03:44:23"
"ZTZYIMjRYJ","Public Open Space - Areas within private properties dedicated for public use","294 Des Voeux Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道西294號","CENTRAL AND WESTERN","中西區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW66-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW66-map.pdf","816495.0","832406.0","22.28735307","114.13939942","2019-07-26 03:44:23"
"01vk0mz36K","Public Open Space - Areas within private properties dedicated for public use","273 Des Voeux Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道西273號","CENTRAL AND WESTERN","中西區","about 14 m2","約 14 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW84-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW84-map.pdf","816592.0","832506.0","22.28823017","114.14036859","2019-07-26 03:44:23"
"3IuI0vBc8F","Public Open Space - Areas within private properties dedicated for public use","129-137 Des Voeux Road West and 107-118 Connaught Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道西129至137號及干諾道西107至118號","CENTRAL AND WESTERN","中西區","about 83 m2","約 83 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/RL12-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/RL12-map1.pdf","816592.0","832929.0","22.28822742","114.14447719","2019-07-26 03:44:23"
"QjtkTtnilX","Public Open Space - Areas within private properties dedicated for public use","80-90 Des Voeux Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道西80-90號","CENTRAL AND WESTERN","中西區","about 2 m2","約 2 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW25-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW25-map.pdf","816514.0","833087.0","22.28752424","114.14601055","2019-07-26 03:44:23"
