GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"xtjKGEYMwC","Parks, Zoos and Gardens","Tai Po Kau Park","Tai Po Road (Tai Po Kau), Tai Po Kau","公園及動植物公園","大埔滘公園","大埔滘大埔公路大埔滘段","TAI PO","大埔","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","3183 9049","3183 9049","","","","","","","Toilets facilities, Dog excreta collection bin","洗手間、狗糞收集箱","832612.0","837521.0","22.43290165","114.18904932","2022-01-31 04:30:09"
"yLiQUF5qSL","Parks, Zoos and Gardens","Tolo Harbour Garden","Tolo Highway, Tai Po","公園及動植物公園","吐露港花園","大埔吐露港公路","TAI PO","大埔","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","3183 9049","3183 9049","","","","","","","Dog excreta collection bin","狗糞收集箱","833465.0","837142.0","22.4406047","114.185365","2022-01-31 04:29:37"
"hWRs4zr8CD","Parks, Zoos and Gardens","Yuen Chau Tsai Park","Island House Lane, Tai Po","公園及動植物公園","元洲仔公園","大埔元洲仔里","TAI PO","大埔","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","3183 9049","3183 9049","","","","","","","Dog excreta collection bin, Toilets (with accessible toilets)","狗糞收集箱、洗手間(設有暢通易達洗手間)","834315.0","836310.0","22.448282","114.17728543","2022-01-31 04:29:18"
"iW7u7j4jI3","Parks, Zoos and Gardens","Tat Wan Road Sitting out Area","Tat Wan Road, Tai Po","公園及動植物公園","達運道休憩處","大埔達運道","TAI PO","大埔","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","3183 9050","3183 9050","","","","","","","Dog excreta collection bin","狗糞收集箱","833267.0","835001.0","22.43881124","114.16457003","2022-01-31 04:28:45"
"sgCQLfMsLv","Parks, Zoos and Gardens","Peng Lei Road Sitting-out Area","Peng Lei Road, Peng Chau","公園及動植物公園","坪利路休憩處","坪洲坪利路","ISLANDS","離島","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2852 3220","2852 3220","","","","","","","Dog excreta collection bin, Toilets (with accessible toilets)","狗糞收集箱, 洗手間(設有暢通易達洗手間)","816623.0","821728.0","22.28845208","114.03578081","2022-01-31 04:27:38"
"AOB3WlF5Sl","Parks, Zoos and Gardens","Don Bosco Road Garden","Don Bosco Road, Cheung Chau","公園及動植物公園","思高路花園","長洲思高路","ISLANDS","離島","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2852 3220","2852 3220","","","","","","","Dog excreta collection bin","狗糞收集箱","807174.0","821727.0","22.20311771","114.035859","2022-01-31 04:26:51"
"FFsMKzC2pj","Parks, Zoos and Gardens","King Fuk Street Sitting-out Area","King Fuk Street, Wong Tai Sin","公園及動植物公園","景福街休憩處","黃大仙，景福街","WONG TAI SIN","黃大仙","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2328 9262","2328 9262","","","","","","","Park bench, Dog excreta collection bin","公園座椅、狗糞收集箱","821645.0","838262.0","22.33386391","114.19623143","2022-01-31 04:26:31"
"ru4VUm5riY","Parks, Zoos and Gardens","Kwai Hei Street Sitting-out Area","Kwai Fuk Road, Kwai Chung","公園及動植物公園","葵喜街休憩處","葵涌葵福路","KWAI TSING","葵青","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2423 3408","2423 3408","","","","","","","Dog excreta collection bin","狗糞收集箱","824296.0","830819.0","22.35779478","114.1239729","2022-01-31 04:26:00"
"QA2yMBxHw6","Parks, Zoos and Gardens","Shek Pui Street Garden","Shek Pui Street, Kwai Chung","公園及動植物公園","石貝街花園","葵涌石貝街","KWAI TSING","葵青","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2425 0691","2425 0691","","","","","","","Dog excreta collection bin","狗糞收集箱","825052.0","832124.0","22.3646227","114.136647","2022-01-31 04:25:37"
"8SediT3jwt","Parks, Zoos and Gardens","Jockey Club Kwai Shing Circuit Sitting-out Area","Kwai Shing Circuit, Kwai Chung","公園及動植物公園","賽馬會葵盛圍休憩處","葵涌葵盛圍","KWAI TSING","葵青","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2423 3408","2423 3408","","","","","","","Dog excreta collection bin","狗糞收集箱","824574.0","830831.0","22.36030108","114.12409225","2022-01-31 04:25:18"
"52OrgDWf24","Parks, Zoos and Gardens","Kam Fung Street Sitting-out Area","Kam Fung Street , Wong Tai Sin","公園及動植物公園","金鳳街休憩處","黃大仙，金鳳街","WONG TAI SIN","黃大仙","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2328 9262","2328 9262","","","","","","","Arbour, Park bench, Dog excreta collection bin","陰棚、公園座椅、狗糞收集箱","822865.0","838444.0","22.34487565","114.19799962","2022-01-31 04:24:52"
"wykvjbGKqL","Parks, Zoos and Gardens","Shing Mun River Promenade Garden No.3","Tai Chung Kiu Road, City One, Sha Tin","公園及動植物公園","城門河第三海濱花園","沙田第一城大涌橋路","SHA TIN","沙田","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2634 0119","2634 0119","","","","","","","Dog excreta collection bin","狗糞收集箱","828025.0","838557.0","22.3914707","114.199105","2022-01-31 04:20:28"
"YIjOe1WBPO","Parks, Zoos and Gardens","Shing Mun River Promenade Garden No.2","Tai Chung Kiu Road, Sha Tin","公園及動植物公園","城門河第二海濱花園","沙田大涌橋路","SHA TIN","沙田","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2634 0119","2634 0119","","","","","","","Dog excreta collection bin","狗糞收集箱","827765.0","838844.0","22.3891267","114.201896","2022-01-31 04:20:07"
"rsWb6zf6ol","Parks, Zoos and Gardens","Shing Mun River Promenade Garden No.1","Che Kung Miu Road, Sha Tin","公園及動植物公園","城門河第一海濱花園","沙田車公廟路","SHA TIN","沙田","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2634 0147","2634 0147","","","","","","","Dog excreta collection bin","狗糞收集箱","826420.0","837607.0","22.3769827","114.189885","2022-01-31 04:19:41"
"ZlzoiCJrMO","Parks, Zoos and Gardens","Ma On Shan Sai Sha Road Garden","Sai Sha Road, Ma On Shan","公園及動植物公園","馬鞍山西沙路花園","馬鞍山西沙路","SHA TIN","沙田","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2634 0143","2634 0143","","","","","","","Dog excreta collection bin","狗糞收集箱","831678.0","841463.0","22.4244587","114.227343","2022-01-31 04:19:21"
"cgq9zoZpkE","Parks, Zoos and Gardens","Mei Tin Road Sitting-out Area","Mei Tin Road, Tai Wai","公園及動植物公園","美田路休憩處","大圍美田路","SHA TIN","沙田","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2634 0147","2634 0147","","","","","","","Dog excreta collection bin","狗糞收集箱","826443.0","836011.0","22.3771877","114.174382","2022-01-31 04:18:56"
"zjmZswl3Xs","Parks, Zoos and Gardens","Bowen Road Park","Bowen Road, Wan Chai","公園及動植物公園","寶雲道公園","灣仔寶雲道","WAN CHAI","灣仔","DOG GARDENS/PET GARDENS,INCLUSIVE PARK FOR PETS,PARK","狗公園/寵物公園,寵物共享公園,公園","24 hours daily","每日24小時開放","2879 5612","2879 5612","N.A.","N.A.","N.A.","N.A.","","","Park bench, Dog Excreta Collection Bin","公園座椅, 狗糞收集箱","814576.0","835720.0","22.27002819","114.17156615","2022-01-31 04:16:32"
"y5iTBUit2B","Parks, Zoos and Gardens","Bowen Road Garden","Bowen Road, Wan Chai","公園及動植物公園","寶雲道花園","灣仔寶雲道","WAN CHAI","灣仔","DOG GARDENS/PET GARDENS,GARDEN,INCLUSIVE PARK FOR PETS","狗公園/寵物公園,花園,寵物共享公園","24 hours daily","每日24小時開放","2879 5612","2879 5612","N.A.","N.A.","N.A.","N.A.","","","Park bench, Dog Excreta Collection Bin","公園座椅, 狗糞收集箱","814869.0","835132.0","22.27267183","114.16585196","2022-01-31 04:15:01"
"Mo3hIXgmYC","Parks, Zoos and Gardens","Tsing Bik Sitting-out Area","Tsing Bik Street, Tuen Mun","公園及動植物公園","青碧休憩處","屯門青碧街","TUEN MUN","屯門","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2451 3110","2451 3110","","","","","","","Dog excreta collection bin","狗糞收集箱","826466.0","816030.0","22.37727587","113.98036861","2022-01-31 04:07:10"
"AEXuVgzHoI","Parks, Zoos and Gardens","San On Sitting-out Area","San On Street, Tuen Mun","公園及動植物公園","新安休憩處","屯門新安街","TUEN MUN","屯門","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2451 3110","2451 3110","","","","","","","Dog excreta collection bin","狗糞收集箱","828208.0","815011.0","22.39299937","113.97045475","2022-01-31 03:58:27"
"Oa1StqAyva","Parks, Zoos and Gardens","Sheung Tsuen Park","Kam Sheung Road, Yuen Long","公園及動植物公園","上村公園","元朗錦上路","YUEN LONG","元朗","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2475 3445 / 2470 7137","2475 3445 / 2470 7137","","","","","","","Dog excreta collection bin","狗糞收集箱","832497.0","828625.0","22.43184428","114.10263598","2022-01-31 03:56:56"
"0V6UUhI4vF","Parks, Zoos and Gardens","Tin Tsz Garden","Tin Shui Road, Tin Shui Wai, Yuen Long","公園及動植物公園","天慈花園","元朗天水圍天瑞路","YUEN LONG","元朗","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2443 0513 / 2476 7350","2443 0513 / 2476 7350","","","","","","","Dog excreta collection bin","狗糞收集箱","834742.0","818940.0","22.4520446","114.00852996","2022-01-31 03:56:22"
"TDoJrCvbXu","Parks, Zoos and Gardens","Hang Hau Garden","Tin Chau Road, Hang Hau, Tseung Kwan O. N.T.","公園及動植物公園","坑口花園","新界將軍澳坑口田洲路","SAI KUNG","西貢","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2791 3112","2791 3112","","","","","","","Dog excreta collection bin","狗糞收集箱","819518.0","845749.0","22.31462998","114.26889435","2022-01-31 03:54:40"
"AsRznRLqdt","Parks, Zoos and Gardens","Sun Pat Kan Sitting-out Area","Wong Ma Kok Road, Stanley","公園及動植物公園","新八間休憩處","赤柱黄蔴角道","SOUTHERN","南區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2555 1268","2555 1268","","","","","","","Dog excreta collection bin","狗糞收集箱","808682.0","840033.0","22.21679304","114.21339815","2022-01-31 03:49:51"
"Qu1wZDSIhb","Parks, Zoos and Gardens","Hung Shing Street Rest Garden","Wai Fung Street, Ap Lei Chau","公園及動植物公園","洪聖街休憩花園","鴨脷洲惠風街","SOUTHERN","南區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2555 1268","2555 1268","","","","","","","Dog excreta collection bin","狗糞收集箱","811779.0","834144.0","22.24476715","114.15627072","2022-01-31 03:46:45"
"HqkybXOO3v","Parks, Zoos and Gardens","Wing Hong Street Rest Garden","Wing Hong Street","公園及動植物公園","永康街休憩花園","永康街","SHAM SHUI PO","深水埗","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2370 9193","2370 9193","","","","","","","Dog excreta collection bin","狗糞收集箱","822349.0","833638.0","22.3402211","114.15134387","2022-01-31 03:43:42"
"1e0VvRjAeV","Parks, Zoos and Gardens","Lung Cheung Road Lookout","Lung Cheung Road","公園及動植物公園","龍翔道眺望處","龍翔道","SHAM SHUI PO","深水埗","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2370 9954","2370 9954","","","","","","","Dog excreta collection bin","狗糞收集箱","822640.0","835706.0","22.34284928","114.17142429","2022-01-31 03:42:14"
"nrf7kVf4PE","Parks, Zoos and Gardens","Pier 3 Garden","Roof, Central Pier No. 3,Man Kwong Street, Central","公園及動植物公園","三號碼頭花園","中環民光街3號碼頭天台","CENTRAL AND WESTERN","中西區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2853 2573","2853 2573","","","","","","","Dog excreta collection bin","狗糞收集箱","816565.0","834269.0","22.28798776","114.15747841","2022-01-31 03:26:32"
"ame04g5LEB","Parks, Zoos and Gardens","Pier 2 Garden","Roof, Central Pier No. 2, Man Kwong Street, Central","公園及動植物公園","二號碼頭花園","中環民光街2號碼頭天台","CENTRAL AND WESTERN","中西區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2853 2573","2853 2573","","","","","","","Dog excreta collection bin","狗糞收集箱","816590.0","834174.0","22.28821414","114.15655701","2022-01-31 03:25:15"
"lWwGMeiCi8","Parks, Zoos and Gardens","Central Pier Waterfront","Man Kwong Street, Central","公園及動植物公園","中環碼頭海濱長廊","中環民光街","CENTRAL AND WESTERN","中西區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2853 2573","2853 2573","","","","","","","Dog excreta collection bin","狗糞收集箱","816493.0","834422.0","22.28733541","114.15896775","2022-01-31 03:19:58"
"vM8epVBV12","Parks, Zoos and Gardens","Wing Lee Street Rest Garden","Wing Lee Street, Sheung Wan","公園及動植物公園","永利街休憩花園","上環永利街","CENTRAL AND WESTERN","中西區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2853 2605","2853 2605","","","","","","","Dog excreta collection bin","狗糞收集箱","816041.0","833514.0","22.28325187","114.15015473","2022-01-31 03:14:46"
"8r5ilZjxe6","Parks, Zoos and Gardens","Central & Western District Promenade-Sheung Wan Section","Chung Kong Road, Sheung Wan","公園及動植物公園","中西區海濱長廊-上環段","上環中港道","CENTRAL AND WESTERN","中西區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2540 9704","2540 9704","","","","","","","Dog excreta collection bin","狗糞收集箱","816705.0","833472.0","22.28924856","114.14974796","2022-01-31 03:11:07"
"ryTLj0YW3Y","Parks, Zoos and Gardens","Tin Ping Road Garden","Tin Ping Road, Sheung Shui, N.T.","公園及動植物公園","天平路花園","上水天平路","NORTH","北區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2679 2826","2679 2826","","","","","","","Pavilion, Arbour, Park bench, Dog excreta collection bin, Hand-washing facilities","涼亭、陰棚、公園座椅、狗糞收集箱、洗手設施","841075.0","831115.0","22.50931355","114.12679133","2022-01-31 03:06:06"
"XbD9zTwZmi","Parks, Zoos and Gardens","Kai Tak Avenue Park","16 Muk On Street, Kowloon City","公園及動植物公園","啟德大道公園","九龍城沐安街16號","KOWLOON CITY","九龍城","BASKETBALL COURTS,CHILDREN’S PLAY AREA,FITNESS EQUIPMENT","籃球場,兒童遊樂場,健體園灺","N.A.","N.A.","2706 5813","2706 5813","2706 5466","2706 5466","N.A.","N.A.","","","Basketball Courts, Toilets are provided in the Park, Other facilities include a children's playground and 6 fitness corners, Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan","籃球場, 公園內設有洗手間, 其他設施包括1個兒童遊樂場和6個健身園地, <br/>無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖。","821195.0","838790.0","22.32979782","114.20135491","2022-01-31 02:01:40"
"TIvqY40FUn","Parks, Zoos and Gardens","Tai Po Waterfront Park","Dai Fat Street, Tai Po","公園及動植物公園","大埔海濱公園","大埔大發街","TAI PO","大埔","AMPHITHEATRE,BOWLING GREENS,GATEBALL COURTS,INCLUSIVE PARK FOR PETS,JOGGING TRACKS/FITNESS TRAILS,MODEL BOAT POOLS,PARK","露天劇場,草地滾球場,門球場,寵物共享公園,緩跑徑/健身徑,模型船池,公園","24 hours daily","每日24小時開放","2667 5489","2667 5489","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","Dog excreta collection bin","狗糞收集箱","834708.0","836487.0","22.45182725","114.17900493","2022-01-28 06:50:27"
"26izZF3OaR","Parks, Zoos and Gardens","Wan Chai Gap Park","Stubbs Road , Wan Chai","公園及動植物公園","灣仔峽公園","灣仔司徒拔道","WAN CHAI","灣仔","DOG GARDENS/PET GARDENS,INCLUSIVE PARK FOR PETS,PARK","狗公園/寵物公園,寵物共享公園,公園","24 hours daily","每日24小時開放","2879 5612","2879 5612","N.A.","N.A.","N.A.","N.A.","","","Park bench, Dog Excreta Collection Bin","公園座椅, 狗糞收集箱","814252.0","835494.0","22.26709982","114.16936458","2022-01-28 01:39:54"
"FYLkrNwvlv","Parks, Zoos and Gardens","Sai Kung Waterfront Park","Wai Man Road, Sai Kung","公園及動植物公園","西貢海濱公園","西貢惠民路","SAI KUNG","西貢","INCLUSIVE PARK FOR PETS,PLAY EQUIPMENT FOR ALL CHILDREN","寵物共享公園,共融遊樂設施","24 HOURS DAILY","每日24小時開放","2791 0158","2791 0158","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Dog excreta collection bin","狗糞收集箱","827041.0","846336.0","22.38255826","114.27464489","2022-01-21 07:38:35"
"5wh83GvZu0","Parks, Zoos and Gardens","Tai Tsoi Yuen Garden","Tai Tsoi Yuen Road, Cheung Chau","公園及動植物公園","大菜園花園","長洲大菜園路","ISLANDS","離島","GATEBALL COURTS","門球場","2 pm to 6 pm<br/><br/>Turf maintenance on every Thursday","下午2時至6時<br/><br/>逢星期四草地保養","2852 3220","2852 3220","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","","","807386.0","821039.0","22.20503122","114.02918811","2022-01-20 01:41:25"
"7jzyallSK9","Parks, Zoos and Gardens","Tai Tau Leng Sitting-out Area","Tai Tau Leng Village, Po Shek Wu Road, Sheung Shui, N.T.","公園及動植物公園","大頭嶺休憩處","新界上水寶石湖路大頭嶺村","NORTH","北區","BADMINTON COURTS,CHILDREN’S PLAY AREA","羽毛球場,兒童遊樂場","24 hours daily","全日開放","2679 2818","2679 2818","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","","","840075.0","830754.0","22.50028734","114.12329124","2022-01-20 01:41:24"
"3YLT6VjX4m","Parks, Zoos and Gardens","Yat Ming Road Park","Junction of Yat Ming Road and Pak Wo Road","公園及動植物公園","一鳴路公園","粉嶺一鳴路與百和路交界","FANLING","粉嶺","DOG GARDENS/PET GARDENS,FITNESS EQUIPMENT,JOGGING TRACKS/FITNESS TRAILS,PLAY EQUIPMENT FOR ALL CHILDREN,CHILDREN’S PLAY AREA","狗公園/寵物公園,健體園灺,緩跑徑/健身徑,共融遊樂設施,兒童遊樂場","6 am to 11 pm daily","每日早上六時至晚上十一時","2679 2818","2679 2818","2671 5410","2671 5410","mppn2@lcsd.gov.hk","mppn2@lcsd.gov.hk","N.A.","N.A.","The venue provides drinking fountains, arbours and sitting benches, children's play equipment, pet garden, elderly fitness equipment, fitness equipment, jogging tracks, toilet, toilet for person with disability, lawn, Tai Chi area","場內設有飲水機,蔭棚及坐椅,兒童遊樂設施,狗公園/寵物公園 ,長者健身設施,健身設施,緩跑徑,洗手間,暢通易達洗手間,大草地,太極場","838445.0","832974.0","22.48556901","114.14487316","2022-01-11 03:45:21"
"kMdx2XRzRD","Parks, Zoos and Gardens","East Coast Park (Phase 1)","East Coast Park (Phase 1)","公園及動植物公園","東岸公園 (第一期)","東岸公園 (第一期)","WAN CHAI","灣仔","PARK","公園","24 HOURS DAILY","每日24小時開放","2879 5612","2879 5612","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Dog Excreta Collection Bin, Arbours, Benches","狗糞收集箱, 涼亭, 坐椅","816559.0","837536.0","22.28792912","114.18918445","2021-10-05 03:17:21"
"xPj7QCbFnV","Parks, Zoos and Gardens","Ma Wo Road Garden","2 Ma Wo Road, Tai Po, New Territories","公園及動植物公園","馬窩路花園","新界大埔馬窩路2號","TAI PO","大埔","PARK","公園","7 A.M. to 11 P.M. daily","每日上午7時至晚上11時","3183 9050","3183 9050","2651 0315","2651 0315","mpptp2@lcsd.gov.hk","mpptp2@lcsd.gov.hk","N.A.","N.A.","2 Basketball cum volleyball courts, fitness corner, pebble walking trail, chess tables, men's and ladies' toilets and changing rooms , babycare room, universal toilet, Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan","2個籃球暨排球場、健身區、卵石路步行徑、棋枱、男、女洗手間及更衣室、 育嬰室、通用洗手間、 無障礙設施： 暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖","833702.0","835103.0","22.44273833","114.16555697","2021-06-22 07:16:35"
